(-1 ; -1),(-1 ; 1),(1 ; -1),(1 ; 1),"(-1,41 ; 0)","(1,41 ; 0)","(0 ; -1,41)","(0 ; 1,41)",(0 ; 0),(0 ; 0),(0 ; 0)
"0,052","0,068","0,095","0,076","0,071","0,24","0,152","0,113","0,115","0,051","0,111"
"0,017","0,048","0,093","0,119","0,05","0,092","0,092","0,114","0,06","0,116","0,062"
"0,036","0,022","0,242","0,103","0,041","0,126","0,12","0,057","0,164","0,074","0,166"
"0,098","0,065","0,287","0,063","0,005","0,459","0,078","0,143","0,143","0,106","0,147"
"0,019","0,07","0,328","0,078","0,029","0,104","0,093","0,121","0,053","0,077","0,05"
"0,038","0,086","0,097","0,082","0,026","0,137","0,102","0,103","0,052","0,141","0,05"
"0,06","0,049","0,105","0,106","0,031","0,179","0,087","0,172","0,055","0,113","0,055"
"0,022","0,055","0,075","0,069","0,023","0,097","0,052","0,248","0,108","0,083","0,109"
"0,076","0,03","0,247","0,14","0,054","0,233","0,08","0,147","0,042","0,108","0,044"
"0,056","0,076","0,064","0,076","0,073","0,364","0,111","0,06","0,092","0,07","0,093"
"0,024","0,057","0,103","0,079","0,051","0,057","0,042","0,14","0,049","0,114","0,049"
"0,031","0,022","0,317","0,028","0,039","0,159","0,114","0,127","0,132","0,067","0,136"
"0,082","0,057","0,064","0,072","0,022","0,313","0,039","0,159","0,033","0,106","0,033"
"0,019","0,038","0,256","0,146","0,027","0,118","0,105","0,233","0,045","0,075","0,046"
"0,038","0,026","0,115","0,04","0,027","0,109","0,089","0,094","0,058","0,105","0,057"
"0,053","0,048","0,092","0,071","0,007","0,212","0,062","0,182","0,084","0,08","0,083"
"0,02","0,07","0,125","0,089","0,018","0,148","0,036","0,313","0,068","0,088","0,069"
"0,06","0,035","0,196","0,101","0,052","0,127","0,072","0,125","0,084","0,091","0,088"
"0,038","0,043","0,063","0,1","0,043","0,17","0,099","0,059","0,147","0,074","0,151"
"0,016","0,032","0,059","0,099","0,061","0,06","0,046","0,103","0,131","0,072","0,127"
"0,013","0,013","0,14","0,054","0,041","0,078","0,096","0,139","0,059","0,023","0,06"
"0,045","0,023","0,06","0,101","0,015","0,324","0,045","0,093","0,098","0,086","0,099"
"0,026","0,028","0,098","0,119","0,022","0,115","0,096","0,137","0,095","0,019","0,093"
"0,029","0,028","0,05","0,085","0,036","0,176","0,082","0,097","0,077","0,125","0,081"
"0,043","0,056","0,126","0,055","0,01","0,259","0,039","0,147","0,075","0,048","0,077"
"0,035","0,029","0,067","0,113","0,011","0,128","0,032","0,169","0,052","0,054","0,053"
"0,049","0,04","0,142","0,078","0,048","0,128","0,071","0,068","0,065","0,075","0,064"
